Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;клеевой вкладыш;клеевой вкладыш;self-adhesive paper;wk?adka klejowa;желімді ішпек;Leimeinlage;intercalaire adh?sif;pieza insertada adhesiva;inserto a colla;клеявы ўкладыш;клейова вкладка;;клей катмары;yelim oraliq mato;
;клей;клей;glue;klej;желім;;colle universelle transparente;;;клей;;;желим;yelim;
http://shop.firma-gamma.ru/good/9739260092/;крепление для броши;крепление для броши;brooch fastener;mocowanie na broszk?;брошь арнал?ан бекіткіш;Broschen-Befestigung;fixation pour la broche;sujeci?n del broche;elemento di fissaggio per la spilla;мацаванне для брошкі;кріплення для брошки;;брошь ?ч?н бекиткич;brosh uchun mahkamlash;
;;круглогубцы;round nose pliers;szczypce;д??гелек ауызды тістеуік;;pince ronde;;;круглагубцы;;;тегерек ээктер;dumoloq onbur;
;крючок для вязания;;crochet hook;;то?у?а арнал?ан ілмек;;crochet;;;кручок для вязання;;;токуу ?ч?н илгич;trikotaj uchun kanca;
;лента техническая липучка;;technical hook&loop tape;;техникалы? жабыс?а? лента;technisches Klettenband;ruban de velcro technique;;;стужка тэхнічная ліпучка;;;техникалык чапталгыч лента;texnik yopishqoq lenta;?????????? ?????? ???????
http://shop.firma-gamma.ru/good/1296646052/;липучка;липучка;hook & loop tape;rzep;жабыс?а? лента;Klettenband;velcro;velcro;velcro;ліпучка;липучка;;чапталгыч лента;yopishqoq lenta;
;крючок для ковровой техники;крючок для ковровой техники;latch hook tool;szyde?ko dla techniki dywanowej;кілем то?у техникасына арнал?ан ілмек;Haken f?r Teppichkn?pfen-Technik;crochet pour technique de la tapisserie;gancho para bordado ruso;uncino da Latch hook;гаплік для дывановай тэхнікі;гачок для килимової техніки;;килем техникасы ?ч?н илме;gilam jihozlari uchun ilmoq;
;леска;леска;line;?y?ka;?арма? жібі;Angelschnur;fil de p?che;hilo de pescar;lenza;леса;волосiнь;;кайырмак жиби;leska;
;магнит;магнит;magnet;magnes;магнит;Magnet;aimant;im?n;calamita;магніт;магнет;;магнит;magnit;
http://shop.firma-gamma.ru/good/16547393882/;магнитная лента;магнитная лента;magnetic tape;ta?ma magnetyczna;магнитті лента;Magnetband;ruban magn?tique;cinta magn?tica;nastro calamita;магнітная стужка;магнетна стрічка;;магниттик лента;magnit lenta;
http://shop.firma-gamma.ru/good/16228527572/;магнитные диски ;магнитные диски;sew in magnets;okr?g?e magnetyczne;магнитті дискілер;Magnetscheiben;disques magn?tiques;;;магнітныя дыскі;магнітні диски;;магнит дисктер;magnitli disklar;
;металлические подвески;металлические подвески;metal charms;wieszaki metalowe;металл салпынша?тар;Metallgeh?nge;pendatifs m?talliques;colgantes met?licos;pendenti metalliche;металічныя падвескі;металевы підвіски;;металл илмектер;metall ilmoq;
;молния;молния;zip;zamek b?yskawiczny;сыдырма;Rei?verschlu?;fermeture zipp?e;ziper;chiusura lampo;маланка;блискавка, змійка;;сыдырма;fermuar;
;наполнитель с теплоизоляционным слоем;наполнитель с теплоизоляционным слоем;heat resistant wadding;wype?niacz z warstw? ocieplaj?c?;жылу о?шаула?ыш ?абаты бар толтыр?ыш;F?llmaterial mit W?rmeschutzschicht;garnissant ? couche d’isolation thermique;relleno con capa aislante;riempitivo con strato termoisolante;напаўняльнік з цеплаізаляцыйным пластом;наповнювач з теплоізоляційним шаром;;;;
;основа для картины (флизелин Gamma);основа для картины (флизелин Gamma);Gamma cloth base;osowa pod obrazek (flizelina Gamma);картина?а арнал?ан негіз (флизелин Gamma);Bildunterlage (Vlieseline Gamma);support pour le tableau (vlieseline Gamma);base del grabado (flizelin);base per l'immagine (flizelin);аснова для карціны (флизелин Gamma);основа для картини (флізелін Gamma);;;;
;основа с клеевым слоем и подложкой;основа с клеевым слоем и подложкой;self-adhesive foam base with backing and stand;osnowa z warstw? klejow? i po?o?em;желім ?абаты мен т?семесі бар негіз;Unterlage mit Klebeschicht und Zwischensohle;base ? couche adh?sive et support;base con capa pegable y forro;base con uno strato adesivo e un sottostrato;аснова з клеевым пластом і падкладкай;основа з клейовим шаром і підкладкою;;;;
;пайетка;пайетка;sequin;pajetka;пайетка;Paillette;paillette;lentejuela;paillette;паеткі;паєтка;;;;
;пайетки;пайетки;sequins;cekiny;жылтыра?;Pailletten;paillettes;lentejuelas;pailettes;паеткі;паєтки;;пайеткалар;payetlar;
;открытка;открытка;postcard;poczt?wka;ашы? хат;Gl?ckwunschkarte;carte postal;postal;cartolina;паштоўка;листiвка;;открытка;pochta kartasi;
;паспарту;паспарту;mount;passepartout;паспарту;Passepartout;passepartout;paspart?;passepartout;паспарту;паспарту;;паспарту;paspartu;
https://leonardohobby.ru/ishop/group_7951320302/;паспарту-открытка;паспарту-открытка;aperture card;passepartout - poczt?wka;паспарту-ашы? хат;Passepartout-Gl?ckwunschkarte;passepartout-carte postale;paspart?-postal;passapartout-cartolina;паспарту-паштоўка;паспарту-листiвка;;паспарту-открытка;passpartu-pochta kartasi;
;пинцет;пинцет;tweezers;piencetka;пинцет;Pinzette;pince;pinza;pinzetta;пінцэт;пінцет;;пинцет;pinset;
;пластиковый трафарет;пластиковый трафарет;plastic stencil;plastikowy wzornik;пластикалы? трафарет;Schablone aus Plastik;pochoir en plastique;plantilla pl?stica;stampino plastico;пластыкавы трафарэт;пластиковий трафарет;;пластикалык трафарет;plastik trafaret;
;проволока;проволока;wire;drut;сым;Draht;fil m?tallique;alambre;trafilato;дрот;дротина;;зым;sim;
;;;;;;;;;;;дріт;;;;
;пуговица;пуговица;button;guzik;т?йме;Knopf;bouton;bot?n;bottone;гузік;гудзик;;топчу;tugma;
;пуговицы;пуговицы;buttons;guziki;т?ймелер;Kn?pfe;boutons;botones;bottoni;гузікі;ґудзики;;топчулар;tugmalar;
;деревянная пуговица;деревянная пуговица;wooden button;drewniany guzik;а?аш т?йме;Holzknopf;bouton en bois;bot?n de madera;bottone di legno;драўляны гузік;дерев'яний гудзик;;жыгач топчу;yog'och tugma;
;деревянные пуговицы;деревянные пуговицы;wooden buttons;drewniane guziki;а?аш т?ймелер;Holzkn?pfe;boutons en bois;botones de madera;bottoni di legno;драўляныя гузікі;дерев'яні гудзики;;жыгач топчулар;yog'och tugmalar;
;разделительный картон;разделительный картон;divider card;karton dziel?cy;б?летін картон;Trennkarton;carton de s?paration;cart?n separador;cartone separativo;падзяляльны кардон;розділовий картон;;;;
(типа денежной резинки);резинка;резинка;rubber band;gumka recepturka;резе?ке;Gummi;?lastique;goma;elastico;гумка;резинка;;резинка;rezinka;
;резинка для бисера Gamma;;;;mайда монша??а арнал?ан резе?ке “Gamma”;;;;;гумка для пацерак Gamma;;;;;
;рисунок для термопереноса (глазки);рисунок для термопереноса (глазки);iron on transfers (eyes);rysunek do przeniesienia metod? termotransferu (oczy);термотасымал?а арнал?ан сурет (к?здер);Muster f?r Thermo?bertragung;dessin ? thermotransfert;dibujo para la transferencia t?rmica;immagine per decalcomania termica;малюнак для термапераносу (вочкі);малюнок для термопереносу (очі);;;;
;синтепон;синтепон;wadding;ocieplina poliestrowa;синтепон;Volumenvlies;sint?pon;guata de poli?ster;ovatta di poliestere;сінтэпон;синтепон;;синтепон;sintepon;
;синтепух;синтепух;polyester stuffing;puch syntetyczny;синтетикалы? мамы?;Kunstdaune;holofiber;guata de pelusa;fiocchi in fibra cava di poliestere;сінтэпух;сінтепух;;синтетикалык мамык;sintepux;
;стека;стека;modelling stick;stecca;стека;Modellierholz;?bauchoir;molde;stecca;стэка;стека;;;;
;часовой механизм, стрелки;часовой механизм, стрелки;clock movement with hands;mechanizm zegarowy, wskaz?wki;"са?ат механизмі; са?ат тілдері";Uhrwerk, Uhrzeiger;horlogerie, aiguilles;mecanismo de reloj, agujas;orologeria, lancette;гадзіннікавы механізм, стрэлкі;"годинниковий механізм; стрілки";;;;
http://woolla.ru/images/gamma/b/e/g54364974902.jpg;челнок;челнок;shuttle;cz??enko;?айы?;Schiffchen;navette;lanzadera;spola;човен;човник;;;;
;чипборд (картон);чипборд (картон);cardboard shape;chipboard (tektura);чипборд (картон);Chipboard (Pappe);chipboard (carton);tablero aglomerado (cart?n);chipbord (cartone);чыпборд (кардон);чіпборд (картон);;чипборд (картон);chipbord (karton);
;чипборды (картон);чипборды (картон);cardboard shapes;chipboard (karton);чипбордтар (картон);Chipboards (Pappe);chipboards (carton);tableros aglomerados (cart?n);i chipboard (cartone);чыпборды (кардон);чіпборди (картон);;;;
см.Примечание;шерсть для валяния;шерсть для валяния;felting wool;we?na do filcowania;киіз басу?а арнал?ан ж?н;wolle f?r Filzen;laine ? feutrer;lana para batanadura;lana da feltratura;воўна для валяння;шерсть для валяння;;кийиз ?ч?н ж?н;kigiz uchun jun;
;;;;;;;;;;;;;;;
;шерсть;шерсть;wool;we?na;ж?н;Wolle;laine;lana;lana;воўна;;;;;
;100% мериносовая шерсть для валяния Gamma;100% мериносовая шерсть для валяния Gamma;Gamma felting wool (100% merino);we?na do filcowania 100% merynos?w Gamma;киiз басу?а арнал?ан 100% меринос ж?н Gamma;100% Merinowolle f?r Filzen;100% laine merinos ? feutrer Gamma;100% merino para batanadura;100% lana merino per saldatura;100% мерыносавая воўна для валяння Gamma;100% мериносова шерсть Gamma;;кийиз ?ч?н 100% меринос ж?н Gamma;kigiz uchun 100% merinos jun Gamma;
;шитье ;шитье;broderie anglaise trim;tasiemka koronka;тігу;Bohrstickerei;couture;bordado;san gallo;швіва;"шиття	";;тиг??;tikish;
;объемная пенопластовая основа для изделия (шар) ;объемная пенопластовая основа для изделия (шар);polystyrene base (ball);obj?to?ciowa osnowa ze styropianu  dla wyrobu (kula);б?йым?а арнал?ан к?лемді пенопласты негіз (шар);Volumen-Grundk?rper aus Schaumstoff f?r das Erzeugnis (Kugel);base de mousse pour l’ouvrage (sph?re);base de espuma volum?trica para manualidades (esfera);base di schiuma volumetrica para di artigianato (sfera);аб'ёмная пенапластавая аснова для вырабу (шар);об'ємна пінопластова основа для виробу (куля);;буюмга ?ч?н к?л?мд?? пенопласт негиз (шар);mahsulot uchun hajmli penoplast asos (to'p);
;объемная пенопластовая основа для изделия (полусфера) ;объемная пенопластовая основа для изделия (полусфера);polystyrene base (ball);obj?to?ciowa osnowa ze styropianu  dla wyrobu (kula);б?йым?а арнал?ан к?лемді пенопласты негіз (жарты шар);;base de mousse pour l’ouvrage (h?misph?re);;;;;;буюмга ?ч?н к?л?мд?? пенопласт негиз (жарым шар);mahsulot uchun hajmli penoplast asos (yarim shar);
;объемная пенопластовая основа для изделия (конус) ;объемная пенопластовая основа для изделия (конус);polystyrene base (cone);obj?to?ciowa osnowa ze styropianu  dla wyrobu (sto?ek);б?йым?а арнал?ан к?лемді пенопласты негіз (конус);Volumen-Grundk?rper aus Schaumstoff f?r das Erzeugnis (Kegel);base de mousse pour l’ouvrage (c?ne);base de espuma volum?trica para manualidades (cono);base di schiuma volumetrica para di artigianato (cono);аб'ёмная пенапластавая аснова для вырабу (конус);об'ємна пінопластова основа для виробу (конус);;буюмга ?ч?н к?л?мд?? пенопласт негиз (конус);mahsulot uchun hajmli penoplast asos (konus);
;шар;шар;ball;kula;шар;Kugel;sph?re;esfera;sfera;шар;куля;;шар;to'p;
;конус;конус;cone;sto?ek;конус;Kegel;c?ne;cono;cono;конус;конус;;конус;konus;
;мешковина;мешковина;hessian;zgrzebnina;кенеп;Sackleinen;serpili?re;loneta;tela da sacco;мешкавіна;мішковина;;;;
;ракушка;ракушка;seashell;muszlka;?лу ?абырша?ы;Muschel;coquillage;concha;conchiglia;ракавінка;мушля;;;;
;ракушки;ракушки;seashells;muszelki;?лу ?абырша?тары;Muscheln;coquillages;conchas;conchiglie;ракавінкі;;;;;
;блокнот;блокнот;notebook;notatnik;?ойын д?птер;Notizblock;carnet de notes;;blocchetto;нататнік;блокнот;;блокнот;bloknot;
http://shop.firma-gamma.ru/search/?query=%E3%F0%E0%ED%F3%EB%FF%F2&type=all;стеклянный гранулят ;стеклянный гранулят;glass granules;szklane granulki;шыныдан жасал?ан т?йіршіктегіш;Glasgranulat;granul? de verre;cuaderno;granulato di vetro;шкляны гранулят;скляний гранулят;;айнек гранулят;mayda munchoq;
http://shop.firma-gamma.ru/search/?query=WFI&type=all;древесная стружка ;древесная стружка;wood shavings;wi?rki drewniane;а?аш жо??асы;Holzwolle;copeaux de bois;virutas de madera;trucioli di legno;драўняная габлюшка;деревна стружка;;жыгач таарындысы;yo'g'och qipiq;
;пластиковые глаза с шайбами ;пластиковые глаза с шайбами ;plastic eyes with shanks;;ты?ыры?тары бар пластикалы? к?здер;;yeux en plastique avec rondelles;;;вочы пластыкавыя з шайбамі;;;шайбасын менен пластикалык к?зд?р;shaybali plastik ko'zlar;
http://shop.firma-gamma.ru/search/?query=CRE-+6&type=all;глаза кристальные с шайбами ;глаза кристальные с шайбами;toy eyes with shanks;szklane oczy na podk?adce;ты?ыры?тары бар кристалды к?здер;Kristallaugen mit Scheiben;les yeux cristallins avec rondelles;ojos de cristal con volanderas;occhi di cristallo con rondelle;вочкі крышталёвыя з шайбамі;очі кришталеві з шайбами;;шайбалары менен кристал к?зд?р;shaybali billur ko'zlar;
http://shop.firma-gamma.ru/search/?query=%F8%EF%EB%E8%ED%F2%FB&type=all;металлические шплинты и диски из фибры;металлические шплинты и диски из фибры;metal split pins and fibre board disks;zawleczki metalowe i kr??ki z w??kna naturalnego;фибрадан жасал?ан металл сіргелері мен дискілері;Metallsplinte und Fiberscheiben;goupilles m?talliques et disques en fibre;clavijas ranuradas met?licas y discos de fibra;coppiglie metalliche e dischi di fibra;металічныя шплінты і дыскі з фібры;металеві шплінти та диски з фібри;;металл шплинттер жана фибра дисктери;metall shplintlar va fibrdan yasalgan fibrlar;
http://shop.firma-gamma.ru/search/?query=%E4%E8%F1%EA%E8+%EA%E0%F0%F2%EE%ED%ED%FB%E5&type=all;металлические шплинты и картонные диски ;металлические шплинты и картонные диски;metal split pins and cardboard disks;zawleczki metalowe i kr??ki z kartonu;металдан жасал?ан сіргелер мен картон дискілері;Metallsplinte und Kartonscheiben;goupilles m?talliques et disques en carton;clavijas ranuradas met?licas y discos de cart?n;coppiglie metalliche e dischi di cartone;металічныя шплінты і кардонныя дыскі;металеві шплінти та картонні диски;;;;
https://www.sima-land.ru/2807992/zhemchuzhiny-dlya-vann-s-8-marta-s-aromatom-provanskih-trav-270-g/;Готовую работу вы можете оформить как картину или подушку.;ароматические гранулы;scented granules;granulki aromatyczne;хош иісті т?йіршіктер;aromatisches Granulat;granules aromatiques;;;араматычныя гранулы;;;жыпар жыттуу кумалактар;xushbo'y donalar;
;;пакеты зип-лок;zip lock package;torebki strunowe;зип-лок пакеттері;Zipplock-Beutel;paquets avec une fermeture ? glissi?re;bolsas tipo ziploc;;пакеты зіп-лок;;;;;
http://tkac.ru/tkani/wellsoft.html;;клюв из полимерной глины ручной работы;handmade beak from polymer clay;dzi?b r?cznie wykonany z gliny polimerowej;полимерлік саздан ?олмен жасал?ан т?мсы?;;bec fait ? la main en argile polym?re;;;дзюба з палімернай гліны ручной работы;;;полимер чоподон колго жасалган тумшук;qo'lda yasalgan polimer loy tumshuq;
;;рогатка из полимерной глины ручной работы;handmade slingshot from polymer clay;proca r?cznie wykonany z gliny polimerowej;полимерлік саздан ?олмен жасал?ан рогатка;;lance-pierre fait ? la main en argile polym?re;;;рагатка з палімернай гліны ручной работы;;;;;
;;брелок;fob;;ал?а;;;;;бірулька;;;желб?р??ч;jevak;
;;блокнот-раскраска;colouring notebook;notatnik-kolorowanka;бояу?а арнал?ан д?птерше;;cahier de coloriage;;;блакнот-размалёўка;;;;;
;;цветные наклейки;colour stickers;kolorowe naklejki;т?рлі-т?сті жапсырмалар;;autocollants couleurs;;;каляровыя наклейкі;;;т?ст?? чаптамалар;rangli yelim rasmlar;
;;детали из фетра;details made of felt;elementy z filcu;ж??а киізден жасал?ан б?лшектер;;details en feutre;;;дэталі з фетру;;;фетрдан жасалган б?л?кт?р;fetrdan qilingan detallar;
;;пластиковая игла;plastic needle;ig?a plastykowa;пластикалы? ине;Kunststoffnadel;aiguille en plastique;;;пластыкавая іголка;;;пластикалык ийне;plastik igna;
;;металлический гранулят;metal granules;granulat metalowy;металдан жасал?ан т?йіршіктегіш;;granules m?talliques;;;металічны гранулят;;;металл гранулят;metall munchoq;
;;безопасная игла;Safe needle;;;;;;;;;;;;
;;елочные игрушки (фетровые);Christmas decorations (felt);;;;;;;;;;;;
;;бубенчик;small bell;dzwoneczek;?о?ырау;;petit grelot;;;званочак;;;ко?гуроочо;qo'ng'iroqcha;
;;деревянное кольцо;wooden ring;drewniany pier?cie?;а?аш са?ина;;anneau en bois ;;;драўлянае кольца;;;жыгач шакек;yog'och halqa;
;;металлические кольца для бус;;;монша?тар?а арнал?ан металл са?ина;;;;;металiчныя кольцы для пацер;;;;;
;;вельвет;corduroy;welwet;вельвет;;velours c?tel?;;;вельвет;;;чий баркыт;baxmal;
;;нос пластиковый с шайбой;plastic nose with a washer;nos plastykowy z podk?adk?;шайбасы бар пластикалы? м?рын;;nez en plastique avec une rondelle;;;нос пластыкавы з шайбай;;;шайбасын менен пластикалык мурун;shaybali plastik burun;
;;пластиковый гранулят;plastic granulate;granulat plastykowy;пластикалы? т?йіршіктер;;granul?s de plastique;;;пластыкавы гранулят;;;;;
;;вязаная заготовка для сумочки (ручной работы);knitted work piece for the bag (handmade);robiony na drutach p??wyr?b do torebki (r?cznej pracy);с?мкеге арнал?ан то?ыл?ан дайындама (?олмен жасал?ан);;pi?ce tricot?e pour le sac (faite ? la main);;;вязаная нарыхтоўка для сумачкі (ручной працы);;;;;
;;рог из полимерной глины ручной работы;handmade polymer clay horn;r?g z gliny polimerowej r?cznej pracy;?олмен полимерлі саздан жасал?ан м?йіз;;corne faite ? la main en argile polym?re;;;рог з палімернай гліны ручной працы;;;кол менен жасалган полимер чоподон м?й?з;polimer loydan qo'lda yasalgan shox;
;;рога из полимерной глины ручной работы;handmade polymer clay antlers;rogi z gliny polimerowej r?cznej pracy;?олмен полимерлі саздан жасал?ан м?йіздер;;cornes faites ? la main en argile polym?re;;;рогі з палімернай гліны ручной працы;;;кол менен жасалган полимер чоподон м?й?зд?р;polimer loydan qo'lda yasalgan shoxlar;
;;вязаный шарф ручной работы;handmade knitted scarf;szalik z dzianiny r?cznej pracy ;?олмен то?ыл?ан шарф;;?charpe tricot?e faite ? la main;;;вязаный шарф ручной працы;;;кол менен согулган моюн орогуч;qo‘lda ishlangan trikotaj sharf;
;;вязаная шапка ручной работы;handmade knitted hat;czapka z dzianiny r?cznej pracy;?олмен то?ыл?ан бас киім;;chapeau tricot? fait ? la main;;;вязаная шапка ручной працы;;;кол менен согулган шапка;qo‘lda ishlangan trikotaj bosh kiyimi;
;;вязаная заготовка для сумочки (ручной работы);;;;;;;;;;;сумка (кол менен жасалган) ?ч?н токулган даярдалма;sumka uchun trikotaj sumlachalar (qo‘lda yasalgan);
;;пряжа (100% полиэстер);yarn (100% polyester);prz?dza (100 % poliester);иірілген жіп (100% полиэстр);;fil? (100% polyester);;;прадзіва (100% поліэстэр);;;келеп жип (полиэстер);kalava (polyester);
;;помпон;pompom;pompon;помпон;;pompon;;;Пампон;;;помпон;pompon;
Фрея, стразы;;Наклейки; Stickers;Naklejki;Жапсырмалар;Stickers;Stickers;Pegatinas;;Налепкi;;Stickers;Чаптамалар;Stikerlar;
;;декоративный шнур;decorative cord;dekoracyjny sznur;с?ндік жіп;Dekorationsschnur;cordon d?corative;cord?n decorativo;corda decorativa;дэкаратыўны шнур;;decoratief koord;кооздук жип;dekorativ ip;
;;основа из дерева;wooden base;podstawa z drewna;а?аш негізі;Holzgrundlage;support de bois;base de madera;base in legno;драўляная аснова;;houten basis;жыгач негизи;yog'och asosi;
;;лоток;tray;taca;науа;Tablett;plateau;bandeja;vassoio;латок;;;лоток;laganda;
;;стилус;stylus;rysik;стилус;Strass-Stift;stylet;stylus;;стілус;стилус;schrijfstift;стилус;stilus;
;;страз;rhinestone;;ринстон;Strassstein;strass;diamant de imitaci?n;;страз;;;ринстон;rinston;
;;стразы;rhinestones;;ринстондар;Strasssteine;strass;diamantes de imitaci?n;;стразы;;;ринстон;rinstones;
;;холст на подрамнике;canvas on an underframe;;кергіштегі кенеп;;;;;палатно на падрамніку;;;алкактагы кенеп;ramkada tuval;
;;крепление для картины;picture fastening;;суретке арнал?ан ілмек;Bildhalterung;fixation de l'image;fijaci?n de cuadros;;мацаванне для карціны;;;с?р?т ?ч?н илгич;rasm uchun ilgagi;
;;подвесы для готовой работы;holders for the finished work;;дайын ж?мыс ?шін ?стаушылар;;;;;падвескі для гатовай працы;;;даяр жумуш ?ч?н гимбалдар;tayyor ish uchun suspenziyalar;
;;силиконовая пластина;silicone plate;p?yta silikonowa;силикон та?та;silikonplatte;plaque de silicone;placa de silicona;;сіліконавая пласціна;;;силикон такта;silikon taxta;
;старый вариант;восковая пластина;wax plate;p?yta woskowa;балауызды та?та;Wachsplatte;la plaque de cire;placa de pl?stico;?elowy klej do aplikatora;васковая пласціна;восковая пластина;wax plaat;мом такта;mum taxta;
;;Товар соответствует требованиям ТР ТС 008/2011 «О безопасности игрушек».;;;Тауар КО ТР 008/2011 «Ойыншы?тарды? ?ауіпсіздігі туралы» талаптарына с?йкес келеді.;;;;;;;;Товар БС ТР 008/2011 «Оюнчуктардын коопсуздугу ж?н?нд?» талаптарына шайкеш келет.;Mahsulot TR TS 008/2011 «O'yinchoqlar xavfsizligi to'g'risida» gi talablariga javob beradi.;
;;полиэстеровый холст с клеевым слоем и защитной пленкой;polyester fabric with a sticky layer and a protective film;p??tno poliestrowe z warstw? klej?c? i foli? ochronn?;желім ?абаты мен ?ор?аныс пленкасы бар полиэстер кенеп;Polyester Leinen mit Klebeschicht und Schutzfilm;le canevas polyest?re avec la couche adh?sive et le film protecteur;tela de poli?ster  con capa adhesiva y pel?cula de protecci?n;;;;polyester doek met lijmlaag en beschermfolie;"желимд?? катмар жана коргоочу пленка менен полиэстер кенеп

";yopishqoq qatlam va himoya plyonka polyester tuval;
;;цветная схема;colour chart;kolorowy schemat;т?рлі-т?сті схема;farbiges Schema;diagramme en couleur;esquema de color;;каляровая схема;;magnetisch kleurenschema;т?с схема;rang sxema;
;;цветные схемы;colour charts;kolorowy schematy;т?рлі-т?сті схемалары;farbiges Schemata;diagrammes en couleur;esquemas de color;;каляровыя схемы;;magnetisch kleurenschemata;т?с схемалары;rang sxemalar;
;;цветная схема на магнитной основе с клеевым слоем и защитной пленкой;colour chart on magnetic basis, with a sticky layer and a protective film;kolorowy schemat na osnowie magnetycznej z warstw? klejow? i foli? ochronn?;желімді ?абаты ж?не ?ор?аныс пленкасы бар магнитті негіздегі т?рлі-т?сті схемасы;farbiges Schema auf Magnetgrundlage mit Klebeschicht und Schutzfilm;diagramme en couleur sur un support de  magn?t avec une couche adh?sive et un film de protection;esquema de color en base de magn?tic con capa adhesiva y pel?cula protectora;;каляровая схема на магнітнай аснове, з клеевым пластом і ахоўнай плёнкай;;magnetisch kleurenschema met kleverige laag en beschermende film;желимд?? катмар жана коргоочу пленка менен магнит негизинде т?с схемасы;yopishqoq qatlam va himoya plyonka bilan magnit asosidagi rang sxemasi;
;;цветная схема на деревянной основе с клеевым слоем и защитной пленкой;colour chart on a wooden base, with a sticky layer and a protective film;kolorowy schemat na drewnianej podstawie z warstw? klej?c? i foli? ochronn?;желім ?абаты ж?не ?ор?аныс пленкасы бар а?аш негіздегі т?рлі-т?сті схемасы;farbiges Schema auf Holzgrundlage mit Klebeschicht und Schutzfilm;diagramme en couleur sur un support de bois avec une couche adh?sive et un film de protection;esquema de color en base de madera con capa adhesiva y pel?cula protectora;schema a colori sulla base in legno con lo strato adesivo e la pellicola di protezione;каляровая схема на драўлянай аснове з клеевым пластом і ахоўнай плёнкай;;kleurenschema op een houten basis met een kleeflaag en een beschermende film;желимд?? катмар жана коргоочу пленка менен жыгач негизинде т?с схемасы;yopishqoq qatlam va himoya plyonka bilan yog'och asosidagi rang sxemasi ;
;;цветная схема на клеевой бумаге с клеевым слоем и защитной пленкой;colour chart on pregummed paper with a sticky layer and a protective film;kolorowy schemat na papierze klejowym z warstw? klej?c? i foli? ochronn?;желім ?абаты ж?не ?ор?аныс пленкасы бар желім ?а?азында?ы т?рлі-т?сті схемасы;farbiges Schema auf Klebepapier mit Klebeschicht und Schutzfilm;diagramme en couleur sur papier adh?sif avec une couche adh?sive et un film de protection;esquema de color en papel adhesivo con capa adhesiva y pel?cula protectora;;каляровая схема на клеевой паперы з клеявым пластом і ахоўнай плёнкай;;kleurenschema op zelfklevend papier met een kleeflaag en een beschermende film;желимд?? катмар жана коргоочу пленка менен желим кагаздагы т?с схемасы;yopishqoq qatlam va himoya plyonka bilan yelim qog'ozidagi rang sxemasi;
;;цветная схема на картоне с клеевым слоем и защитной пленкой;colour chart on cardboard with a sticky layer and a protective film;;желім ?абаты ж?не ?ор?аныс пленкасы бар картонда т?рлі-т?сті схемасы;farbiges Schema auf Pappe mit Klebeschicht und Schutzfilm;diagramme en couleur sur carton avec une couche adh?sive et un film de protection;esquema de color en cart?n con capa adhesiva y pel?cula protectora;;каляровая схема на кардоне з клеевым пластом і ахоўнай плёнкай;;;желимд?? катмар жана коргоочу пленка менен картонго т?с схемасы;yopishqoq qatlam va himoya plyonka bilan kartonga rang sxemasi;
;;заготовка для браслета из искусственной кожи с напечатанной цветной схемой, клеевым слоем и защитной пленкой;work piece for a bracelet made of artificial leather with a printed colour chart, a sticky layer and a protective film;;басыл?ан т?рлі-т?сті схемасы, желімді ?абат ж?не ?ор?аныс пленкасы бар жасанды был?арыдан жасал?ан білезік дайындамасы;;;;;нарыхтоўка для бранзалета з штучнай скуры з надрукаванай каляровай схемай, клеевым пластом і ахоўнай плёнкай;;;басылган т?с схемасы желимд?? катмар жана коргоочу пленкасы бар жасалма булгаары билерик даярдоо;bosilgan rang sxemasi, yopishqoq qatlam va himoya plyonka bilan sun'iy charm bilaguzuk blankasi;
;;Набор для творчества. Кристальная мозаика;Craft kit. Diamond painting;;Шы?армашылы??а арнал?ан жина?. Кристалды мозаика ;;;;;Набор для творчасці. Крышталёвая мазаіка ;;;"Чыгармачылык топтом. Кристалл мозаика 
";Ijod uchun to'plam. Kristall mozaik;
